"","mesesDesde","nDonaciones","vDonado","mesesDonante"
"125",2,4,1000,26
"126",2,5,1250,34
"127",4,8,2000,46
"128",2,4,1000,26
"129",4,8,2000,48
"130",2,2,500,10
"131",4,5,1250,28
"132",2,12,3000,95
"133",2,2,500,10
"134",4,6,1500,35
"135",2,11,2750,88
"136",2,3,750,19
"137",2,5,1250,37
"138",2,12,3000,98
"139",9,5,1250,19
"140",2,2,500,11
"141",2,9,2250,74
"142",5,14,3500,86
"143",4,3,750,16
"144",4,3,750,16
"145",4,2,500,9
"146",4,3,750,16
"147",6,3,750,14
"148",2,2,500,11
"149",2,2,500,11
"150",2,2,500,11
"151",2,7,1750,58
"152",4,6,1500,39
"153",4,11,2750,78
"154",2,1,250,2
"155",2,1,250,2
"156",2,1,250,2
"157",2,1,250,2
"158",2,1,250,2
"159",2,1,250,2
"160",2,1,250,2
"161",2,1,250,2
"162",2,1,250,2
"163",2,1,250,2
"164",2,1,250,2
"165",2,1,250,2
"166",2,1,250,2
"167",2,1,250,2
"168",2,1,250,2
"169",2,1,250,2
"170",2,1,250,2
"171",2,1,250,2
"172",2,1,250,2
"173",2,1,250,2
"174",2,1,250,2
"175",2,1,250,2
"176",11,10,2500,35
"177",11,4,1000,16
"178",4,5,1250,33
"179",4,6,1500,41
"180",2,3,750,22
"181",4,4,1000,26
"182",10,4,1000,16
"183",2,4,1000,35
"184",4,12,3000,88
"185",13,8,2000,26
"186",11,9,2250,33
"187",4,5,1250,34
"188",4,4,1000,26
"189",8,15,3750,77
"190",4,5,1250,35
"191",4,7,1750,52
"192",4,7,1750,52
"193",2,4,1000,35
"194",11,11,2750,42
"195",2,2,500,14
"196",2,5,1250,47
"197",9,8,2000,38
"198",4,6,1500,47
"199",11,7,1750,29
"200",9,9,2250,45
"201",4,6,1500,52
"202",4,7,1750,58
"203",6,2,500,11
"204",4,7,1750,58
"205",11,9,2250,38
"206",11,6,1500,26
"207",2,2,500,16
"208",2,7,1750,76
"209",11,6,1500,27
"210",11,3,750,14
"211",4,1,250,4
"212",4,1,250,4
"213",4,1,250,4
"214",4,1,250,4
"215",4,1,250,4
"216",4,1,250,4
"217",4,1,250,4
"218",4,1,250,4
"219",4,1,250,4
"220",4,1,250,4
"221",4,1,250,4
"222",4,1,250,4
"223",4,1,250,4
"224",4,1,250,4
"225",4,1,250,4
"226",4,1,250,4
"227",4,1,250,4
"228",4,3,750,24
"229",4,1,250,4
"230",4,1,250,4
"231",4,1,250,4
"232",4,1,250,4
"233",4,1,250,4
"234",10,8,2000,39
"235",14,7,1750,26
"236",8,10,2500,63
"237",11,3,750,15
"238",4,2,500,14
"239",2,4,1000,43
"240",8,9,2250,58
"241",8,8,2000,52
"242",11,22,5500,98
"243",4,3,750,25
"244",11,17,4250,79
"245",9,2,500,11
"246",4,5,1250,46
"247",11,12,3000,58
"248",7,12,3000,86
"249",11,2,500,11
"250",11,2,500,11
"251",11,2,500,11
"252",2,6,1500,75
"253",11,8,2000,41
"254",11,3,750,16
"255",12,13,3250,59
"256",2,3,750,35
"257",16,8,2000,28
"258",11,7,1750,37
"259",4,3,750,28
"260",12,12,3000,58
"261",4,4,1000,41
"262",11,14,3500,73
"263",2,2,500,23
"264",2,3,750,38
"265",4,5,1250,58
"266",4,4,1000,43
"267",3,2,500,23
"268",11,8,2000,46
"269",4,7,1750,82
"270",13,4,1000,21
"271",16,11,2750,40
"272",16,7,1750,28
"273",7,2,500,16
"274",4,5,1250,58
"275",4,5,1250,58
"276",4,4,1000,46
"277",14,13,3250,57
"278",4,3,750,34
"279",14,18,4500,78
"280",11,8,2000,48
"281",14,16,4000,70
"282",14,4,1000,22
"283",14,5,1250,26
"284",8,2,500,16
"285",11,5,1250,33
"286",11,2,500,14
"287",4,2,500,23
"288",9,2,500,16
"289",14,5,1250,28
"290",14,3,750,19
"291",14,4,1000,23
"292",16,12,3000,50
"293",11,4,1000,28
"294",11,5,1250,35
"295",11,5,1250,35
"296",2,4,1000,70
"297",14,5,1250,28
"298",14,2,500,14
"299",14,2,500,14
"300",14,2,500,14
"301",14,2,500,14
"302",14,2,500,14
"303",14,2,500,14
"304",2,3,750,52
"305",14,6,1500,34
"306",11,5,1250,37
"307",4,5,1250,74
"308",11,3,750,23
"309",16,4,1000,23
"310",16,3,750,19
"311",11,5,1250,38
"312",11,2,500,16
"313",12,9,2250,60
"314",9,1,250,9
"315",9,1,250,9
"316",4,2,500,29
"317",11,2,500,17
"318",14,4,1000,26
"319",11,9,2250,72
"320",11,5,1250,41
"321",15,16,4000,82
"322",9,5,1250,51
"323",11,4,1000,34
"324",14,8,2000,50
"325",16,7,1750,38
"326",14,2,500,16
"327",2,2,500,41
"328",14,16,4000,98
"329",14,4,1000,28
"330",16,7,1750,39
"331",14,7,1750,47
"332",16,6,1500,35
"333",16,6,1500,35
"334",11,7,1750,62
"335",16,2,500,16
"336",16,3,750,21
"337",11,3,750,28
"338",11,7,1750,64
"339",11,1,250,11
"340",9,3,750,34
"341",14,4,1000,30
"342",23,38,9500,98
"343",11,6,1500,58
"344",11,1,250,11
"345",11,1,250,11
"346",11,1,250,11
"347",11,1,250,11
"348",11,1,250,11
"349",11,1,250,11
"350",11,1,250,11
"351",11,1,250,11
"352",11,2,500,21
"353",11,5,1250,50
"354",11,2,500,21
"355",16,4,1000,28
"356",4,2,500,41
"357",16,6,1500,40
"358",14,3,750,26
"359",9,2,500,26
"360",21,16,4000,64
"361",14,6,1500,51
"362",11,2,500,24
"363",4,3,750,71
"364",21,13,3250,57
"365",11,6,1500,71
"366",14,2,500,21
"367",23,15,3750,57
"368",14,4,1000,38
"369",11,2,500,26
"370",16,5,1250,40
"371",4,2,500,51
"372",14,3,750,31
"373",4,2,500,52
"374",9,4,1000,65
"375",14,4,1000,40
"376",11,3,750,40
"377",14,5,1250,50
"378",14,1,250,14
"379",14,1,250,14
"380",14,1,250,14
"381",14,1,250,14
"382",14,1,250,14
"383",14,1,250,14
"384",14,1,250,14
"385",14,1,250,14
"386",14,7,1750,72
"387",14,1,250,14
"388",14,1,250,14
"389",9,3,750,52
"390",14,7,1750,73
"391",11,4,1000,58
"392",11,4,1000,59
"393",4,2,500,59
"394",11,4,1000,61
"395",16,4,1000,40
"396",16,10,2500,89
"397",21,2,500,21
"398",21,3,750,26
"399",16,8,2000,76
"400",21,3,750,26
"401",18,2,500,23
"402",23,5,1250,33
"403",23,8,2000,46
"404",16,3,750,34
"405",14,5,1250,64
"406",14,3,750,41
"407",16,1,250,16
"408",16,1,250,16
"409",16,1,250,16
"410",16,1,250,16
"411",16,1,250,16
"412",16,1,250,16
"413",16,1,250,16
"414",16,4,1000,45
"415",16,1,250,16
"416",16,1,250,16
"417",16,1,250,16
"418",16,1,250,16
"419",16,1,250,16
"420",16,2,500,26
"421",21,2,500,23
"422",16,2,500,27
"423",21,2,500,23
"424",21,2,500,23
"425",14,4,1000,57
"426",16,5,1250,60
"427",23,2,500,23
"428",14,5,1250,74
"429",23,3,750,28
"430",16,3,750,40
"431",9,2,500,52
"432",9,2,500,52
"433",16,7,1750,87
"434",14,4,1000,64
"435",14,2,500,35
"436",16,7,1750,93
"437",21,2,500,25
"438",14,3,750,52
"439",23,14,3500,93
"440",18,8,2000,95
"441",16,3,750,46
"442",11,3,750,76
"443",11,2,500,52
"444",11,3,750,76
"445",23,12,3000,86
"446",21,3,750,35
"447",23,2,500,26
"448",23,2,500,26
"449",23,8,2000,64
"450",16,3,750,50
"451",23,3,750,33
"452",21,3,750,38
"453",23,2,500,28
"454",21,1,250,21
"455",21,1,250,21
"456",21,1,250,21
"457",21,1,250,21
"458",21,1,250,21
"459",21,1,250,21
"460",21,1,250,21
"461",21,1,250,21
"462",21,1,250,21
"463",21,1,250,21
"464",21,1,250,21
"465",21,1,250,21
"466",21,5,1250,60
"467",23,4,1000,45
"468",21,4,1000,52
"469",22,1,250,22
"470",11,2,500,70
"471",23,5,1250,58
"472",23,3,750,40
"473",23,3,750,41
"474",14,3,750,83
"475",21,2,500,35
"476",26,5,1250,49
"477",23,6,1500,70
"478",23,1,250,23
"479",23,1,250,23
"480",23,1,250,23
"481",23,1,250,23
"482",23,1,250,23
"483",23,1,250,23
"484",23,1,250,23
"485",23,1,250,23
"486",23,4,1000,53
"487",21,6,1500,86
"488",23,3,750,48
"489",21,2,500,41
"490",21,3,750,64
"491",16,2,500,70
"492",21,3,750,70
"493",23,4,1000,87
"494",23,3,750,89
"495",23,2,500,87
"496",35,3,750,64
"497",38,1,250,38
"498",38,1,250,38
"499",40,1,250,40
"500",74,1,250,74
"501",2,43,10750,86
"502",6,22,5500,28
"503",2,34,8500,77
"504",2,44,11000,98
"505",0,26,6500,76
"506",2,41,10250,98
"507",3,21,5250,42
"508",2,11,2750,23
"509",2,21,5250,52
"510",2,13,3250,32
"511",4,4,1000,4
"512",2,11,2750,26
"513",2,11,2750,28
"514",3,14,3500,35
"515",4,16,4000,38
"516",4,6,1500,14
"517",3,5,1250,12
"518",4,33,8250,98
"519",3,10,2500,33
"520",4,10,2500,28
"521",2,11,2750,40
"522",2,11,2750,41
"523",4,13,3250,39
"524",1,10,2500,43
"525",4,9,2250,28
"526",2,4,1000,11
"527",2,5,1250,16
"528",2,15,3750,64
"529",5,24,6000,79
"530",2,6,1500,22
"531",4,5,1250,16
"532",2,4,1000,14
"533",4,8,2000,28
"534",2,4,1000,14
"535",2,6,1500,26
"536",4,5,1250,16
"537",2,7,1750,32
"538",2,6,1500,26
"539",2,8,2000,38
"540",2,2,500,4
"541",2,6,1500,28
"542",2,10,2500,52
"543",4,16,4000,70
"544",4,2,500,4
"545",1,14,3500,95
"546",4,2,500,4
"547",7,14,3500,48
"548",2,3,750,11
"549",2,12,3000,70
"550",4,7,1750,32
"551",4,4,1000,16
"552",2,6,1500,35
"553",4,6,1500,28
"554",2,3,750,14
"555",2,4,1000,23
"556",4,4,1000,18
"557",5,6,1500,28
"558",4,6,1500,30
"559",14,5,1250,14
"560",3,8,2000,50
"561",4,11,2750,64
"562",4,9,2250,52
"563",4,16,4000,98
"564",7,10,2500,47
"565",4,14,3500,86
"566",2,9,2250,75
"567",4,6,1500,35
"568",4,9,2250,55
"569",4,6,1500,35
"570",2,6,1500,45
"571",2,6,1500,47
"572",4,2,500,9
"573",2,2,500,11
"574",2,2,500,11
"575",2,2,500,11
"576",4,6,1500,38
"577",3,4,1000,29
"578",9,9,2250,38
"579",11,5,1250,18
"580",2,3,750,21
"581",2,1,250,2
"582",2,1,250,2
"583",2,1,250,2
"584",2,1,250,2
"585",2,1,250,2
"586",2,1,250,2
"587",2,1,250,2
"588",2,1,250,2
"589",2,1,250,2
"590",2,1,250,2
"591",2,1,250,2
"592",11,11,2750,38
"593",2,3,750,22
"594",9,11,2750,49
"595",5,11,2750,75
"596",3,5,1250,38
"597",3,1,250,3
"598",4,6,1500,43
"599",2,3,750,24
"600",12,11,2750,39
"601",2,2,500,14
"602",4,6,1500,46
"603",9,3,750,14
"604",14,8,2000,26
"605",4,2,500,13
"606",4,11,2750,95
"607",2,7,1750,77
"608",2,7,1750,77
"609",4,1,250,4
"610",4,1,250,4
"611",4,1,250,4
"612",4,1,250,4
"613",4,1,250,4
"614",4,1,250,4
"615",4,1,250,4
"616",4,1,250,4
"617",4,1,250,4
"618",4,1,250,4
"619",4,1,250,4
"620",4,1,250,4
"621",4,7,1750,62
"622",4,1,250,4
"623",4,4,1000,34
"624",11,6,1500,28
"625",13,3,750,14
"626",7,5,1250,35
"627",9,9,2250,54
"628",11,2,500,11
"629",2,5,1250,63
"630",7,11,2750,89
"631",8,9,2250,64
"632",2,2,500,22
"633",6,3,750,26
"634",12,15,3750,71
"635",13,3,750,16
"636",11,16,4000,89
"637",4,5,1250,58
"638",14,7,1750,35
"639",11,4,1000,27
"640",7,9,2250,89
"641",11,8,2000,52
"642",7,5,1250,52
"643",11,6,1500,41
"644",10,5,1250,38
"645",14,2,500,14
"646",14,2,500,14
"647",14,2,500,14
"648",2,2,500,33
"649",11,3,750,23
"650",14,8,2000,46
"651",9,1,250,9
"652",16,5,1250,27
"653",14,4,1000,26
"654",4,2,500,30
"655",14,3,750,21
"656",16,16,4000,77
"657",4,2,500,31
"658",14,8,2000,50
"659",11,3,750,26
"660",14,7,1750,45
"661",15,5,1250,33
"662",16,2,500,16
"663",16,3,750,21
"664",11,8,2000,72
"665",11,1,250,11
"666",11,1,250,11
"667",11,1,250,11
"668",11,1,250,11
"669",11,1,250,11
"670",2,3,750,75
"671",2,3,750,77
"672",16,4,1000,28
"673",16,15,3750,87
"674",16,14,3500,83
"675",16,10,2500,62
"676",16,3,750,23
"677",14,3,750,26
"678",23,19,4750,62
"679",11,7,1750,75
"680",14,3,750,28
"681",20,14,3500,69
"682",4,2,500,46
"683",11,2,500,25
"684",11,3,750,37
"685",16,4,1000,33
"686",21,7,1750,38
"687",13,7,1750,76
"688",16,6,1500,50
"689",14,3,750,33
"690",14,1,250,14
"691",14,1,250,14
"692",14,1,250,14
"693",14,1,250,14
"694",14,1,250,14
"695",14,1,250,14
"696",17,7,1750,58
"697",14,3,750,35
"698",14,3,750,35
"699",16,7,1750,64
"700",21,2,500,21
"701",16,3,750,35
"702",16,1,250,16
"703",16,1,250,16
"704",16,1,250,16
"705",16,1,250,16
"706",16,1,250,16
"707",14,2,500,29
"708",11,4,1000,74
"709",11,2,500,38
"710",21,6,1500,48
"711",23,2,500,23
"712",23,6,1500,45
"713",14,2,500,35
"714",16,6,1500,81
"715",16,4,1000,58
"716",16,5,1250,71
"717",21,2,500,26
"718",21,3,750,35
"719",21,3,750,35
"720",23,8,2000,69
"721",21,3,750,38
"722",23,3,750,35
"723",21,3,750,40
"724",23,2,500,28
"725",21,1,250,21
"726",21,1,250,21
"727",25,6,1500,50
"728",21,1,250,21
"729",21,1,250,21
"730",23,3,750,39
"731",21,2,500,33
"732",14,3,750,79
"733",23,1,250,23
"734",23,1,250,23
"735",23,1,250,23
"736",23,1,250,23
"737",23,1,250,23
"738",23,1,250,23
"739",23,1,250,23
"740",23,4,1000,52
"741",23,1,250,23
"742",23,7,1750,88
"743",16,3,750,86
"744",23,2,500,38
"745",21,2,500,52
"746",23,3,750,62
"747",39,1,250,39
"748",72,1,250,72
